Default,WC/TA,RE/TA,EBIT/TA,ME/TL,S/TA
0,0.5007986,0.3068458,0.0433734,0.9562708,0.3347738
0,0.5477802,0.3222137,0.0518426,1.064545,0.3345913
0,0.4510005,0.2251504,0.0268132,0.8040959,0.2455852
0,0.3068869,0.1919362,0.0300583,0.3870105,0.2534376
0,0.4472462,0.217368,0.032458,0.7916385,0.2755307
0,0.4576187,0.2240644,0.0318383,1.288137,0.3181927
0,0.0060338,-0.0284001,0.006764,0.1102698,0.2549882
0,-0.1147283,-0.1186598,0.0308919,0.1496446,0.3157223
0,0.0613052,-0.1094951,0.0399474,0.4101503,0.2860254
0,0.0506413,-0.0866989,0.0453552,0.2533544,0.3420563
0,0.1210532,-0.1140413,0.0372976,0.4571765,0.3121222
0,-0.0363527,0.2669636,0.0476107,0.5852994,0.2116824
0,-0.0354227,0.252793,0.0318553,0.3274492,0.2120515
0,0.0015918,0.148661,-0.0026663,0.1620512,0.1560922
0,-0.0487345,0.0169387,0.0086358,0.0734475,0.1641156
0,-0.0341435,-0.0133432,0.0235617,0.1036882,0.1773946
0,-0.0348443,-0.0415092,0.0173981,0.086529,0.1868751
0,0.0237284,0.0469046,0.0472968,0.5547193,0.0725719
0,0.0153945,0.0765812,0.0344754,0.6033657,0.0947192
0,0.0258408,0.1059324,0.0435098,0.7934194,0.099377
0,0.0009581,0.1224919,0.0367763,0.8186115,0.0927939
0,0.0394688,0.1438311,0.024667,0.6260791,0.1224316
0,-0.045802,0.1474672,0.0420335,0.8906599,0.1472402
0,-0.0120814,0.1428467,0.0362047,0.6831554,0.1103368
0,-0.0010013,0.1511133,0.0332989,0.5751773,0.0886002
0,0.0097895,0.1460492,0.0425866,0.5773621,0.1117286
0,-0.0079076,0.1643383,0.0455206,0.6222969,0.1062938
0,0.1523052,0.4239996,0.096686,7.958125,0.2748552
0,0.2338203,0.4669525,0.0922008,11.16999,0.2733042
0,0.0478988,0.3165041,0.0836317,6.118231,0.2136721
0,0.1230267,0.3638396,0.0727958,4.630354,0.2169732
0,0.1382085,0.4113221,0.0764022,5.376806,0.2206878
0,0.1592414,0.4292155,0.0696419,5.060882,0.2209529
0,0.0797956,0.0952759,0.0150599,0.7461002,0.1426455
0,0.0295035,0.0410262,0.0313019,0.807474,0.135506
0,0.0256769,-0.0086209,0.0626345,0.7651554,0.1830699
0,0.0418284,0.0014074,0.0426766,0.6414983,0.1334251
0,0.0415267,-0.0039614,0.0256979,0.7107261,0.1532108
0,0.0218244,-0.0286293,0.0301915,0.6487767,0.1750746
0,0.0080377,-0.0473794,0.0431047,0.5516269,0.2016917
0,0.0866933,-0.046342,0.0479515,1.13462,0.1896871
0,0.06751,-0.0117479,0.0672936,0.8805585,0.1836091
0,0.0531902,0.2398293,0.0270884,0.4629003,0.1379696
0,-0.3800355,0.3272991,0.0152205,1.216094,0.1131646
0,0.1404884,0.2307479,0.0539588,1.802133,0.2549298
0,0.2780553,0.3397361,0.0601293,1.697779,0.2373005
0,0.2129879,0.3170201,0.0236772,2.613112,0.1951836
0,0.1541534,0.1474664,-0.0209014,0.742572,0.1434946
0,0.2306919,0.1047093,0.0461991,1.142992,0.2065941
0,0.2059725,0.1323696,0.0389617,1.704951,0.1917723
0,-0.1696203,0.0734036,0.0727354,1.572166,0.1643561
0,0.0349478,-0.0695837,0.0396081,3.370073,0.0862475
0,0.0122642,-0.035246,0.043407,3.126836,0.1155363
0,0.2819679,0.1773152,0.039519,0.1706754,0.1653472
0,0.3108748,0.0910519,0.0428083,0.2195041,0.1543339
0,0.3344412,0.1319868,0.0337244,0.3330885,0.1422774
0,0.3373035,0.1626406,0.0366839,0.5850759,0.1591694
0,0.3870279,0.0896963,0.0452902,3.024821,0.0758123
0,0.3280051,0.1210137,0.0205971,3.564794,0.0677444
0,0.3514985,-0.2408533,-0.3620827,1.715727,0.0362116
0,0.3612199,0.0523436,0.0241485,1.70785,0.0614943
0,0.109672,-0.0076169,0.0134921,2.632863,0.0463917
0,0.0891442,-0.0406704,0.0564997,1.470832,0.1056923
0,0.1407778,-0.0763183,0.0200411,3.606862,0.0887652
0,0.1916704,0.2164273,0.0550423,1.292603,0.7063936
0,0.0239515,0.4548746,0.0596134,1.294393,0.1822929
0,0.0885299,0.4193197,0.0630526,1.540535,0.202137
0,0.0696933,0.445349,0.0621959,1.788964,0.1990997
0,0.1114273,0.4704183,0.0513935,1.916847,0.1895075
0,0.0856501,0.4603256,0.0386193,1.82931,0.1944772
0,0.093438,0.4625177,0.0515556,2.235694,0.233375
0,0.1553401,0.3207796,0.063444,0.7307062,0.5130795
0,0.0228159,0.2384006,0.0380649,0.7666643,0.2665875
0,0.0692409,0.1890243,0.0100061,0.4854377,0.2329738
0,0.087579,0.1637554,-0.0103053,0.4010454,0.1916316
0,0.1116889,0.0904689,0.0244342,0.2883626,0.2075372
0,0.0646596,0.1111962,0.0302283,0.31462,0.2226321
0,0.1132281,0.0925957,0.0249997,0.3667259,0.239381
0,0.0639245,0.1246586,0.0600952,1.677348,0.1459746
0,0.051133,0.1322283,0.0926519,1.458126,0.1980033
0,0.0307389,0.1753938,0.0480015,1.112526,0.1241582
0,0.2931548,0.5073719,0.0682569,1.977742,0.4735347
0,0.3133628,0.4918219,0.0558073,2.047902,0.4673589
0,0.3614674,0.5137883,0.0700347,2.677962,0.4464114
0,0.3159491,0.5061554,0.0830967,3.2221,0.4344234
0,0.3829469,0.5393754,0.060339,3.89055,0.4134912
0,0.3050348,0.5809509,0.0705767,5.311376,0.447506
0,0.0687257,0.35258,0.0665475,1.318611,0.6678452
0,0.0941283,0.3669141,0.0665729,1.158839,0.632248
0,0.0863073,0.37169,0.0589634,1.18619,0.5969175
0,0.0866186,0.33599,0.0644882,0.8391266,0.6372124
0,0.0737719,0.3552347,0.0587071,0.8943679,0.5917743
0,0.0149962,0.2960204,0.0620278,0.6864062,0.6332439
0,0.1444699,0.456906,0.0539351,2.107174,0.2246338
0,0.066355,0.2594889,0.0438197,1.210312,0.1879266
0,0.0485055,0.2642183,0.0401089,1.349616,0.2085914
0,0.0855889,0.2564464,0.0500422,1.084099,0.2087759
0,0.0860109,0.164062,0.0380559,0.8364891,0.1319347
0,0.0267904,0.1478908,0.0418466,0.8300692,0.2355286
0,0.04896,0.101476,0.0567892,0.4000292,0.2731237
0,0.0660288,0.1081949,0.0432707,0.1423872,0.2472102
0,0.0658851,0.1044736,0.0470615,0.2462382,0.2363371
0,0.1005847,0.1047523,0.031094,0.2826383,0.2095441
0,0.0829439,0.1349198,0.0328888,0.2309065,0.2002402
0,0.1977851,0.2018542,0.0390458,0.6624813,0.2909679
0,0.3364559,0.2327593,0.0331329,2.268726,0.3027015
1,0.3573008,0.0604665,0.0283414,3.196286,0.2835108
0,-0.047036,0.1444274,0.0620826,0.9414811,0.1840385
0,-0.1229077,0.118628,0.0405248,0.5800297,0.2036798
0,-0.3954011,0.0687779,0.0018374,0.1440341,0.0915908
0,0.0492186,0.0292957,0.0352637,0.2048569,0.0881491
0,0.0508472,-0.0297468,0.0564774,0.3956204,0.1195929
0,0.1157979,0.4452997,0.0613886,3.083172,0.285037
0,0.1816072,0.4398542,0.0718668,2.490861,0.2897941
